SKU,EAN,UPC,TYPE,NAME,SHORTCODE,VARIANT GROUP ID,STATUS,PRICE,SALE PRICE,AVAILABLE,COMMITTED,BACKORDERED,ON HAND,TRACKING,BACKORDER LIMIT,DESCRIPTION,WEIGHT,UNIT OF WEIGHT,GTIN CODE,PRODUCT ID,OPTION 1 NAME,OPTION 1 VALUE,OPTION 2 NAME,OPTION 2 VALUE
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-BL,,,,Restoring Warriors T - Large Logo Front XL / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-blue,Size,XL,Color,Blue
N-JSS-NM-HD---BG-LG---XL-NVY-BL,,,,In Jesus Name Hoodie - Big Logo - XL / Navy Blue,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-xl-navy-blue,Size,XL,Color,Navy Blue
N-JSS-NM-HD---4-BRS-LG---XL-NVY-BL,,,,In Jesus Name Hoodie - 4 Bars Logo - XL / Navy Blue,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-xl-navy-blue,Size,XL,Color,Navy Blue
RSTRNG-WRRRS-HD---LRG-LG-XL-NVY-BL,,,,Restoring Warriors Hoodie - Large Logo XL / Navy Blue,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-xl-navy-blue,Size,XL,Color,Navy Blue
